Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350153B,ECOLE PRIMAIRE PUBLIQUE DE BRECE,35039,BRECE,public,115.5
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350174Z,ECOLE ELEMENTAIRE PUBLIQUE GEORGES MARTINAIS,35059,LA CHAPELLE DES FOUGERETZ,public,121.5
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350197Z,ECOLE PRIMAIRE PUBLIQUE DE CLAYES,35081,CLAYES,public,112.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350395P,ECOLE PRIMAIRE PUBLIQUE LA FONTAINE,35216,PARTHENAY DE BRETAGNE,public,115.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350552K,ECOLE PRIMAIRE PUBLIQUE NIKI DE SAINT PHALLE,35315,SAINT SULPICE LA FORET,public,131.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,35238,RENNES,public,123.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,35238,RENNES,public,130.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351072A,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35150,LECOUSSE,privé sous contrat,112.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352329S,ECOLE ELEMENTAIRE PUBLIQUE LA GABILLAIS,35240,LE RHEU,public,124.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352411F,ECOLE PRIMAIRE PRIVEE ST YVES,35238,RENNES,privé sous contrat,136.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352520Z,ECOLE PRIMAIRE PUBLIQUE LES LANDES,35055,CHANTEPIE,public,111.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352670M,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,35238,RENNES,public,74.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351699G,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35055,CHANTEPIE,privé sous contrat,131.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351823S,ECOLE ELEMENTAIRE PUBLIQUE EUGENE ALLANIC,35131,L HERMITAGE,public,110.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351826V,ECOLE PRIMAIRE PRIVEE STE THERESE,35200,MOUTIERS,privé sous contrat,96.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351862J,ECOLE ELEMENTAIRE PUBLIQUE LES GRAINS D ORGE,35208,ORGERES,public,114.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352056V,ECOLE PRIMAIRE PUBLIQUE LE CHENE CENTENAIRE,35204,NOUVOITOU,public,118.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352329S,ECOLE ELEMENTAIRE PUBLIQUE LA GABILLAIS,35240,LE RHEU,public,123.1
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352353T,ECOLE PRIMAIRE PUBLIQUE LE HAUT CHEMIN,35210,PACE,public,128.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352363D,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35136,JANZE,privé sous contrat,118.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL,35352,VERN SUR SEICHE,public,121.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,35238,RENNES,public,114.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352669L,ECOLE ELEMENTAIRE PUBLIQUE PASCAL LAFAYE,35238,RENNES,public,82.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352810P,ECOLE PRIMAIRE PUBLIQUE ANDREE CHEDID,35238,RENNES,public,68.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0352877M,ECOLE PRIMAIRE PUBLIQUE NELSON MANDELA,35238,RENNES,public,90.0
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350288Y,ECOLE PRIMAIRE PUBLIQUE LE LONG SILLON,35132,HIREL,public,88.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350430C,ECOLE PRIMAIRE PUBLIQUE MOIGNE,35240,LE RHEU,public,123.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350592D,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH LOTTE,35238,RENNES,public,122.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350593E,ECOLE ELEMENTAIRE PUBLIQUE ALBERT DE MUN,35238,RENNES,public,134.5
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350602P,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,35238,RENNES,public,108.4
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350612A,ECOLE ELEMENTAIRE PUBLIQUE JEAN ZAY,35238,RENNES,public,136.6
2020-2021,RENNES,035,ILLE-ET-VILAINE,0350631W,ECOLE ELEMENTAIRE PUBLIQUE MOULIN DU COMTE,35238,RENNES,public,95.8
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351059L,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35135,IRODOUER,privé sous contrat,110.7
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,35047,BRUZ,privé sous contrat,131.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,35334,THORIGNE FOUILLARD,privé sous contrat,139.9
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351494J,ECOLE PRIMAIRE PRIVEE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,130.3
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351504V,ECOLE PRIMAIRE PRIVEE ADORATION,35238,RENNES,privé sous contrat,132.2
2020-2021,RENNES,035,ILLE-ET-VILAINE,0351536E,ECOLE PRIMAIRE PRIVEE ST MARTIN,35245,ROMILLE,privé sous contrat,114.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350103X,ECOLE ELEMENTAIRE PUBLIQUE LE CHEVRE,35001,ACIGNE,public,129.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350153B,ECOLE PRIMAIRE PUBLIQUE AUX QUATRE VENTS,35039,BRECE,public,109.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350208L,ECOLE PRIMAIRE PUBLIQUE JACQUES YVES COUSTEAU,35088,CORPS NUDS,public,116.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350296G,ECOLE ELEMENTAIRE PUBLIQUE LE CHAT PERCHE,35136,JANZE,public,107.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350479F,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,35275,SAINT GILLES,public,118.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350483K,ECOLE ELEMENTAIRE PUBLIQUE PAUL EMILE VICTOR,35278,SAINT GREGOIRE,public,128.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,35238,RENNES,public,118.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350671P,ECOLE PRIMAIRE PUBLIQUE DE LA VALLEE DU ROHUEL,35351,LE VERGER,public,120.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351059L,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35135,IRODOUËR,privé sous contrat,109.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351126J,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35189,MONTGERMONT,privé sous contrat,125.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351151L,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35208,ORGERES,privé sous contrat,125.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351214E,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE CENTRE,35047,BRUZ,privé sous contrat,135.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351254Y,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35080,CINTRE,privé sous contrat,120.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351360N,ECOLE PRIMAIRE PRIVEE ST JEAN,35266,SAINT ERBLON,privé sous contrat,120.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351369Y,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35275,SAINT GILLES,privé sous contrat,129.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,35334,THORIGNE FOUILLARD,privé sous contrat,139.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351504V,ECOLE PRIMAIRE PRIVEE ADORATION,35238,RENNES,privé sous contrat,134.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351619V,ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY,35353,VEZIN LE COQUET,public,98.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351686T,ECOLE PRIMAIRE PUBLIQUE FRANCOISE DOLTO,35032,BOURGBARRE,public,122.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351736X,ECOLE PRIMAIRE PRIVEE STE MARIE,35120,GEVEZE,privé sous contrat,134.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351989X,ECOLE ELEMENTAIRE PUBLIQUE JULES ISAAC,35238,RENNES,public,116.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352038A,ECOLE ELEMENTAIRE PUBLIQUE LE GRETAY,35196,MORDELLES,public,121.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352187M,ECOLE ELEMENTAIRE PUBLIQUE CLEMENCEAU,35238,RENNES,public,79.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352199A,ECOLE ELEMENTAIRE PUBLIQUE GUILLEVIC,35238,RENNES,public,71.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352209L,ECOLE PRIMAIRE PUBLIQUE TREGAIN,35238,RENNES,public,66.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352258P,ECOLE ELEMENTAIRE PUBLIQUE VOLGA,35238,RENNES,public,79.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350188P,ECOLE PRIMAIRE PUBLIQUE LE CHAT PERCHE,35206,NOYAL CHATILLON SUR SEICHE,public,108.5
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350593E,ECOLE ELEMENTAIRE PUBLIQUE ALBERT DE MUN,35238,RENNES,public,137.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350596H,ECOLE ELEMENTAIRE PUBLIQUE OSCAR LEROUX,35238,RENNES,public,108.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350612A,ECOLE ELEMENTAIRE PUBLIQUE JEAN ZAY,35238,RENNES,public,141.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350632X,ECOLE ELEMENTAIRE PUBLIQUE COLOMBIER,35238,RENNES,public,95.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350638D,ECOLE ELEMENTAIRE PUBLIQUE CARLE BAHON,35238,RENNES,public,128.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0350639E,ECOLE ELEMENTAIRE PUBLIQUE VILLENEUVE,35238,RENNES,public,144.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351151L,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35208,ORGERES,privé sous contrat,121.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351182V,ECOLE ELEMENTAIRE PRIVEE NOTRE DAME,35022,BECHEREL,privé sous contrat,103.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351253X,ECOLE PRIMAIRE PRIVEE STE THERESE,35079,CHEVAIGNE,privé sous contrat,130.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351360N,ECOLE PRIMAIRE PRIVEE ST JEAN,35266,SAINT ERBLON,privé sous contrat,126.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351369Y,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35275,SAINT GILLES,privé sous contrat,120.6
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351421E,ECOLE PRIMAIRE PRIVEE FREDERIC OZANAM,35310,SAINT SAUVEUR DES LANDES,privé sous contrat,107.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,35334,THORIGNE FOUILLARD,privé sous contrat,138.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351494J,ECOLE PRIMAIRE PRIVEE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,129.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351561G,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35353,VEZIN LE COQUET,privé sous contrat,120.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351657L,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35139,LAILLE,public,127.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351774N,ECOLE ELEMENTAIRE PUBLIQUE LIBERTE,35238,RENNES,public,129.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351813F,ECOLE ELEMENTAIRE PUBLIQUE CHAMP L EVEQUE,35047,BRUZ,public,124.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0351862J,ECOLE ELEMENTAIRE PUBLIQUE LES GRAINS D ORGE,35208,ORGERES,public,120.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352134E,ECOLE ELEMENTAIRE PUBLIQUE GUY GERARD,35210,PACE,public,125.4
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352136G,ECOLE ELEMENTAIRE PUBLIQUE CLOTEAUX,35238,RENNES,public,91.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352140L,ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY,35238,RENNES,public,104.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352158F,ECOLE ELEMENTAIRE PUBLIQUE JEAN ROSTAND,35238,RENNES,public,112.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352207J,ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN,35238,RENNES,public,93.2
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL,35352,VERN SUR SEICHE,public,122.0
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352387E,ECOLE ELEMENTAIRE PUBLIQUE LA CHALOTAIS,35352,VERN SUR SEICHE,public,119.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352390H,ECOLE PRIMAIRE PUBLIQUE ROGER BEAULIEU,35065,LA CHAPELLE THOUARAULT,public,109.7
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352407B,ECOLE PRIMAIRE PRIVEE STE ANNE,35076,CHAVAGNE,privé sous contrat,113.1
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352410E,ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO,35238,RENNES,privé sous contrat,90.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352485L,ECOLE PRIMAIRE PRIVEE L IMMACULEE,35196,MORDELLES,privé sous contrat,113.8
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352500C,ECOLE PRIMAIRE PRIVEE DIWAN,35238,RENNES,privé sous contrat,123.9
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352521A,ECOLE ELEMENTAIRE PUBLIQUE LES DEUX RUISSEAUX,35055,CHANTEPIE,public,111.3
2016-2017,RENNES,035,ILLE-ET-VILAINE,0352669L,ECOLE ELEMENTAIRE PUBLIQUE PASCAL LAFAYE,35238,RENNES,public,89.4
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352344H,ECOLE PRIMAIRE PRIVEE STE MARIE,35066,CHARTRES DE BRETAGNE,privé sous contrat,130.1
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352386D,ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL,35352,VERN SUR SEICHE,public,124.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352411F,ECOLE PRIMAIRE PRIVEE ST YVES,35238,RENNES,privé sous contrat,135.2
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352432D,ECOLE PRIMAIRE PUBLIQUE MARIE PAPE CARPANTIER,35238,RENNES,public,116.5
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352433E,ECOLE PRIMAIRE PUBLIQUE ROBERT DOISNEAU,35238,RENNES,public,104.6
2017-2018,RENNES,035,ILLE-ET-VILAINE,0352500C,ECOLE PRIMAIRE PRIVEE DIWAN,35238,RENNES,privé sous contrat,122.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350103X,ECOLE ELEMENTAIRE PUBLIQUE LE CHEVRE,35001,ACIGNE,public,129.0
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350153B,ECOLE PRIMAIRE PUBLIQUE AUX QUATRE VENTS,35039,BRECE,public,112.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350362D,ECOLE ELEMENTAIRE PUBLIQUE GERARD PHILIPE,35189,MONTGERMONT,public,117.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350467T,ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC,35363,PONT PEAN,public,118.7
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350603R,ECOLE ELEMENTAIRE PUBLIQUE PABLO PICASSO,35238,RENNES,public,117.5
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351064S,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35139,LAILLE,privé sous contrat,131.6
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351126J,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35189,MONTGERMONT,privé sous contrat,127.9
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351151L,ECOLE PRIMAIRE PRIVEE LE SACRE COEUR,35208,ORGERES,privé sous contrat,125.8
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,35047,BRUZ,privé sous contrat,127.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,35238,RENNES,public,131.3
2019-2020,RENNES,035,ILLE-ET-VILAINE,0351025Z,ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE,35245,ROMILLE,public,121.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350395P,ECOLE PRIMAIRE PUBLIQUE LA FONTAINE,35216,PARTHENAY DE BRETAGNE,public,116.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350467T,ECOLE PRIMAIRE PUBLIQUE LUCIE AUBRAC,35363,PONT PEAN,public,117.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350593E,ECOLE ELEMENTAIRE PUBLIQUE ALBERT DE MUN,35238,RENNES,public,132.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350602P,ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL,35238,RENNES,public,105.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0350624N,ECOLE ELEMENTAIRE PUBLIQUE CONTOUR SAINT AUBIN,35238,RENNES,public,129.5
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351022W,ECOLE ELEMENTAIRE PUBLIQUE LA CHESNAYE,35196,MORDELLES,public,108.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351245N,ECOLE PRIMAIRE PRIVEE ST AMAND,35206,NOYAL CHATILLON SUR SEICHE,privé sous contrat,128.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351494J,ECOLE PRIMAIRE PRIVEE NOTRE DAME DU VIEUX COURS,35238,RENNES,privé sous contrat,131.6
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351498N,ECOLE PRIMAIRE PRIVEE ST MICHEL,35238,RENNES,privé sous contrat,132.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351522P,ECOLE PRIMAIRE PRIVEE ST JEAN STE THERESE,35238,RENNES,privé sous contrat,129.1
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351536E,ECOLE PRIMAIRE PRIVEE ST MARTIN,35245,ROMILLE,privé sous contrat,116.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351659N,ECOLE PRIMAIRE PUBLIQUE LE VIEUX MUR,35144,LANGAN,public,106.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351786B,ECOLE PRIMAIRE PUBLIQUE LOUISE MICHEL,35266,SAINT ERBLON,public,119.0
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351809B,ECOLE ELEMENTAIRE PUBLIQUE LA HAYE RENAUD,35024,BETTON,public,129.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351859F,ECOLE ELEMENTAIRE PUBLIQUE BEAUSOLEIL,35051,CESSON SEVIGNE,public,131.9
2021-2022,RENNES,035,ILLE-ET-VILAINE,0351862J,ECOLE ELEMENTAIRE PUBLIQUE LES GRAINS D ORGE,35208,ORGERES,public,113.8
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352137H,ECOLE ELEMENTAIRE PUBLIQUE OLYMPE DE GOUGES,35281,SAINT JACQUES DE LA LANDE,public,107.4
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352140L,ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY,35238,RENNES,public,100.3
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352158F,ECOLE ELEMENTAIRE PUBLIQUE JEAN ROSTAND,35238,RENNES,public,105.2
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352207J,ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN,35238,RENNES,public,83.7
2021-2022,RENNES,035,ILLE-ET-VILAINE,0352306S,ECOLE ELEMENTAIRE PUBLIQUE L AUDITOIRE,35066,CHARTRES DE BRETAGNE,public,105.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350362D,ECOLE ELEMENTAIRE PUBLIQUE GERARD PHILIPE,35189,MONTGERMONT,public,116.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350479F,ECOLE ELEMENTAIRE PUBLIQUE JACQUES PREVERT,35275,SAINT GILLES,public,119.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350552K,ECOLE PRIMAIRE PUBLIQUE NIKI DE SAINT PHALLE,35315,SAINT SULPICE LA FORET,public,133.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350592D,ECOLE ELEMENTAIRE PUBLIQUE JOSEPH LOTTE,35238,RENNES,public,117.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350593E,ECOLE ELEMENTAIRE PUBLIQUE ALBERT DE MUN,35238,RENNES,public,137.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0350632X,ECOLE ELEMENTAIRE PUBLIQUE COLOMBIER,35238,RENNES,public,90.8
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351059L,ECOLE PRIMAIRE PRIVEE ST JOSEPH,35135,IRODOUER,privé sous contrat,112.0
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351197L,ECOLE PRIMAIRE PRIVEE L ARCHE DE NOE,35032,BOURGBARRE,privé sous contrat,124.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351213D,ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON,35047,BRUZ,privé sous contrat,127.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351443D,ECOLE PRIMAIRE PRIVEE STE ANNE,35334,THORIGNE FOUILLARD,privé sous contrat,133.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351558D,ECOLE PRIMAIRE PRIVEE STE BERNADETTE,35351,LE VERGER,privé sous contrat,112.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351657L,ECOLE ELEMENTAIRE PUBLIQUE LEONARD DE VINCI,35139,LAILLE,public,126.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351707R,ECOLE PRIMAIRE PRIVEE ST MARTIN,35204,NOUVOITOU,privé sous contrat,117.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351749L,ECOLE PRIMAIRE PRIVEE NOTRE DAME,35352,VERN SUR SEICHE,privé sous contrat,126.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351774N,ECOLE ELEMENTAIRE PUBLIQUE LIBERTE,35238,RENNES,public,126.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351786B,ECOLE PRIMAIRE PUBLIQUE LOUISE MICHEL,35266,SAINT ERBLON,public,114.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351806Y,ECOLE ELEMENTAIRE PUBLIQUE LES OMBLAIS,35024,BETTON,public,126.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0351823S,ECOLE ELEMENTAIRE PUBLIQUE EUGENE ALLANIC,35131,L HERMITAGE,public,116.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352055U,ECOLE ELEMENTAIRE PUBLIQUE LOUISE MICHEL,35238,RENNES,public,119.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352209L,ECOLE PRIMAIRE PUBLIQUE TREGAIN,35238,RENNES,public,67.7
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352245A,ECOLE PRIMAIRE PRIVEE STE ANNE,35235,RANNEE,privé sous contrat,102.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352258P,ECOLE ELEMENTAIRE PUBLIQUE VOLGA,35238,RENNES,public,85.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352329S,ECOLE ELEMENTAIRE PUBLIQUE LA GABILLAIS,35240,LE RHEU,public,125.5
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352344H,ECOLE PRIMAIRE PRIVEE STE MARIE,35066,CHARTRES DE BRETAGNE,privé sous contrat,126.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352353T,ECOLE PRIMAIRE PUBLIQUE LE HAUT CHEMIN,35210,PACE,public,130.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352360A,ECOLE PRIMAIRE PRIVEE RAOUL FOLLEREAU,35024,BETTON,privé sous contrat,131.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352390H,ECOLE PRIMAIRE PUBLIQUE ROGER BEAULIEU,35065,LA CHAPELLE THOUARAULT,public,108.1
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352391J,ECOLE PRIMAIRE PUBLIQUE EUGENE POTTIER,35281,SAINT JACQUES DE LA LANDE,public,99.4
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352487N,ECOLE PRIMAIRE PRIVEE STE MARIE,35240,LE RHEU,privé sous contrat,126.3
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352536S,ECOLE PRIMAIRE PUBLIQUE LES MEZIERES,35024,BETTON,public,116.6
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352559S,ECOLE PRIMAIRE PUBLIQUE SONIA DELAUNAY,35238,RENNES,public,89.9
2018-2019,RENNES,035,ILLE-ET-VILAINE,0352668K,ECOLE ELEMENTAIRE PUBLIQUE GANTELLES,35238,RENNES,public,94.8
