date_mesure,geocode_commune,libelle_commune,type_eau,usage,valeur
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces superficielles,eau potable,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces superficielles,industrie et autres usages économiques,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux douces superficielles,refroidissement des centrales électriques,0.0
2008-01-01,35216,Parthenay-de-Bretagne,eaux saumâtres,refroidissement des centrales électriques,0.0
2008-01-01,35230,Poilley,eaux douces souterraines,agriculture,0.0
2008-01-01,35230,Poilley,eaux douces souterraines,eau potable,24857.0
2008-01-01,35230,Poilley,eaux douces souterraines,industrie et autres usages économiques,0.0
2008-01-01,35230,Poilley,eaux douces souterraines,refroidissement des centrales électriques,0.0
2008-01-01,35230,Poilley,eaux douces superficielles,agriculture,0.0
2008-01-01,35230,Poilley,eaux douces superficielles,eau potable,0.0
