Barreau,avNom,avPrenom,cbRaisonSociale,cbSiretSiren,cbAdresse1,cbAdresse2,cbCp,cbVille,spLibelle1,spLibelle2,spLibelle3,acDateSerment,AvLang
RENNES,DANIEL,Alain,DANIEL AVOCATS & ASSOCIES,330952904,107 avenue Henri Fréville,,35200,RENNES,Droit des sociétés,,,,Français
RENNES,DANIEL,Jean-François,DANIEL AVOCATS & ASSOCIES,330952904,107 avenue Henri Fréville,,35200,RENNES,,,,,Français
RENNES,DARRICAU,Antonine,SD AVOCATS,984880849,1 rue Raoul Ponchon,,35000,RENNES,,,,,Français
RENNES,DAUGAN,Anne,MDL AVOCATS ASSOCIES,479522690,2 bis l'Abbaye Rue Saint Melaine,,35000,RENNES,,,,,Français
RENNES,DAVID,Nolwenn,DAVID NOLWENN,892853557,74 F rue de Paris,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DE LUCA,Vittorio,VERSO AVOCATS,828440743,23 avenue Aristide Briand,,35000,RENNES,,,,,"Anglais,Français,Italien"
RENNES,DE MOY,Jean-Marc,DE MOY JEAN-MARC,803032960,78 rue Saint-Hélier,Immeuble A,35000,RENNES,,,,,Français
RENNES,DE PERTHUIS,Camille,DE PERTHUIS CAMILLE,,24 mail François Mitterrand,,35000,RENNES,,,,,Français
RENNES,DE VILLARTAY,Axel,VIA AVOCATS,428878532,23 rue de la Monnaie,,35000,RENNES,,,,,"Anglais,Français"
RENNES,DEBROISE,Mathieu,CABINET MATHIEU DEBROISE,519082747,1 place de Bretagne,,35000,RENNES,,,,,Français
RENNES,DEGROOTE,Pierre-Antoine,DEGROOTE PIERRE-ANTOINE,829742956,4 boulevard Saint Conwoïon,,35000,RENNES,,,,,Français
