annee,coderegion,region,codedepartement,departement,codeepci,epci,codeinseecommune,codepostalcommune,commune,code_groupe,groupe_production,sous_groupe_production,production,nb_exp,surfab,surfc1,surfc2,surfc3,surfc123,surfbio
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Orges,1,1,0,0,0,0,1
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,GCU,Céréales et oléoprotéagineux (yc légumes secs),Céréales,Triticale,1,1.4,0,0,0,0,1.4
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Maïs fourrager,1,3.63,0,0,0,0,3.63
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,SF,Surfaces et cultures fourragères,Cultures fourragères,Prairie temporaire,3,61.13,0,0,0,0,61.13
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35139,35890,LAILLÉ,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,3,21.55,0,0,0,0,21.55
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35180,35190,MINIAC-SOUS-BÉCHEREL,LE,Légumes frais,Légumes frais,Légumes frais plein champ,1,2.35,0,0,0,0,2.35
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35180,35190,MINIAC-SOUS-BÉCHEREL,LE,Légumes frais,Légumes frais,Légumes frais sous abris,1,0.5,0,0,0,0,0.5
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35180,35190,MINIAC-SOUS-BÉCHEREL,SF,Surfaces et cultures fourragères,Surfaces toujours en herbe,Prairie permanente,1,0.75,0,0,0,0,0.75
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35196,35310,MORDELLES,AU,Autres surfaces,Hors liste,"Autres surfaces, parcours collectifs et zones de cueillette",1,0.64,0,0,0,0,0.64
2008,53,Bretagne,35,Ille-et-Vilaine,243500139,Rennes Métropole,35196,35310,MORDELLES,AU,Autres surfaces,Hors liste,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1,3.3,0,0,0,0,3.3
