Code INSEE commune,commune,Code INSEE département,Département,Code INSEE région,Région,Type peuplement,Essence,Développement,Diamètre moyen,Surface travaux/longueur travaux,Année coupe,Hiérarchie géographique,Géo-point commune,COMMUNE_PRINCIPALE,Méthode de coupe,Nombre d'unités,Hmax CCG-LA,Courbes hauteurs (Désignation),Courbes hauteurs (Essence),Mise en oeuvre manuel (% manuel),Travaux tiers
35051,Cesson-Sévigné,35,,,,Arbre isolé,Chêne commun,Actif,> 30,0,2027,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ELAGAGE,1,3.0,D,Chêne commun,100,Non
35047,Bruz,35,,,,Haie,Charme commun (Charmille),Neutre,< 15,0,,,"48.0261755313, -1.74817480915",Bruz,TAILLE,,6.0,D,Charme commun (Charmille),0,Oui
35047,Bruz,35,,,,Taillis,"Saule marsault (des chèvres),Chêne commun,Bourdaine",Actif,< 15,0,2027,,"48.0261755313, -1.74817480915",Bruz,DÉBROUSSAILLAGE,,6.5,A,Saule marsault (des chèvres),100,Non
35051,Cesson-Sévigné,35,,,,Haie,"Merisier,Charme commun (Charmille),Châtaignier",Neutre,< 15,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,TAILLE,,19.0,C,Châtaignier,100,Non
35047,Bruz,35,,,,Arbre isolé,Épicéa,Actif,15 - 30,0,2099,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,1,10.0,C,Épicéa,100,Non
35051,Cesson-Sévigné,35,,,,Arbre isolé,Chêne commun,Neutre,15 - 30,0,,,"48.1202268032, -1.59714447272",Cesson-Sévigné,ABATTAGE,1,17.5,E,Chêne commun,100,Non
35047,Bruz,35,,,,Arbre isolé,Platane,Actif,> 30,0,2027,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,1,5.0,D,Platane,100,Non
35047,Bruz,35,,,,Futaie,Chêne commun,Actif,15 - 30,0,2099,,"48.0261755313, -1.74817480915",Bruz,ABATTAGE,3,12.0,D,Chêne commun,100,Non
35047,Bruz,35,,,,Futaie,Érable,Actif,15 - 30,0,2030,,"48.0261755313, -1.74817480915",Bruz,ECIMAGE,3,12.0,C,Érable,100,Non
35047,Bruz,35,,,,Haie,"Saule (blanc, argenté, vivier, Osier blanc)",Neutre,< 15,0,,,"48.0261755313, -1.74817480915",Bruz,TAILLE,,12.5,E,"Saule (blanc, argenté, vivier, Osier blanc)",0,Non
35047,Bruz,35,,,,Futaie,"Aulne,Charme commun (Charmille),Bouleau",Neutre,15 - 30,0,,,"48.0261755313, -1.74817480915",Bruz,ABATTAGE,12,8.5,B,Aulne,100,Non
35047,Bruz,35,,,,Taillis,"Chêne commun,Orme,Frêne",Actif,< 15,0,2099,,"48.0261755313, -1.74817480915",Bruz,DÉBROUSSAILLAGE,,11.5,C,Frêne,100,Non
35059,La Chapelle-des-Fougeretz,35,,,,Lisière,,Actif,15 - 30,0,2028,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,ELAGAGE,5,0.0,,Chêne commun,100,Non
35059,La Chapelle-des-Fougeretz,35,,,,Futaie,"Bouleau,Chêne commun,Peuplier",Actif,15 - 30,0,2099,,"48.1768937301, -1.74067185823",La Chapelle-des-Fougeretz,ABATTAGE,9,9.9,C,Peuplier,100,Non
35278,Saint-Grégoire,35,,,,Taillis,"Pin,Bouleau",Actif,< 15,0,2031,,"48.1588840471, -1.68571943452",Saint-Grégoire,DÉBROUSSAILLAGE,,11.5,B,Bouleau,100,Oui
35047,Bruz,35,,,,Futaie,"Charme commun (Charmille),Chêne commun,Érable",Actif,15 - 30,0,2099,,"48.0261755313, -1.74817480915",Bruz,ABATTAGE,18,6.0,C,Charme commun (Charmille),100,Non
35081,Clayes,35,,,,Haie,"Épicéa,Ronces,Prunellier commun (Épine noire)",Neutre,< 15,0,,,"48.1786926288, -1.8539725616",Clayes,TAILLE,,16.0,C,Épicéa,0,Non
