REG,DEP,LIBDEP,CODGEO,LIBGEO,ANNEE,Existence d'une convention de mutualisation,Nombre d'agents de police municipale,Nombre d'ASVP,Nombre de gardes champêtres,Nombre de brigades canines (2013),Nombre de maîtres-chiens de police municipale,Nombre de chiens de patrouille de police municipale,Communes partenaires (commande R),Communes partenaires (code INSEE),Communes partenaires (libellé),Population au 1er janvier de l'année d'enquête,Population au 1er janvier de l'année suivante
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2013,NA,4,1,0,0,NA,NA,NA,NA,NA,8989,9195
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2014,NA,3,1,0,NA,0,0,NA,NA,NA,9195,9376
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2015,NA,3,1,0,NA,0,0,NA,NA,NA,9376,9521
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2016,NA,3,1,0,NA,0,0,NA,NA,NA,9521,9639
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2017,NA,3,1,0,NA,0,0,NA,NA,NA,9639,9765
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2018,NA,3,1,0,NA,0,0,NA,NA,NA,9765,9890
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2019,NA,5,3,0,NA,0,0,NA,NA,NA,9890,9881
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2020,NA,4,3,0,NA,0,0,NA,NA,NA,9881,9837
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2021,0,5,3,0,NA,0,0,NA,NA,NA,9837,9992
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2022,0,6,2,0,NA,0,0,NA,NA,NA,9992,9957
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2023,0,5,2,0,NA,0,0,NA,NA,NA,9957,NA
53,35,ILLE_ET_VILAINE,35278,ST_GREGOIRE,2024,0,5,2,0,NA,0,0,NA,NA,NA,NA,NA
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2013,NA,3,1,0,0,NA,NA,NA,NA,NA,11783,12303
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2014,NA,3,1,0,NA,0,0,NA,NA,NA,12303,12587
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2015,NA,3,1,0,NA,0,0,NA,NA,NA,12587,12917
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2016,NA,3,1,0,NA,0,0,NA,NA,NA,12917,13087
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2017,NA,3,1,0,NA,0,0,NA,NA,NA,13087,13533
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2018,NA,4,1,0,NA,0,0,NA,NA,NA,13533,13948
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2019,NA,3,0,0,NA,0,0,NA,NA,NA,13948,13955
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2020,NA,3,1,0,NA,0,0,NA,NA,NA,13955,13656
53,35,ILLE_ET_VILAINE,35281,ST_JACQUES_DE_LA_LANDE,2021,0,3,0,0,NA,0,0,NA,NA,NA,13656,13593
